VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
TES_SampleBox_Cu,29061,Cu-61,0.0,16.0,11998.800000000001,0.02956081877192004,16
CsI_Active_Shield_Side02,53122,I-122,0.0,16.0,217.79999999999998,0.029560409090360024,16
ADR_SaltPill_Cu_Can,29066,Cu-66,0.0,16.0,307.2,0.029559999408800008,16
CsI_Active_Shield_Side02,54125,Xe-125,0.0,16.0,60839.99999999999,0.029544660285687398,16
ActiveShield_Readout_Box_YM,12027,Mg-27,0.0,16.0,567.48,0.02941771314052474,16
W_Collimator_Aperture_Stop,73177,Ta-177,0.0,16.0,203616.0,0.02906078860378515,16
CsI_Active_Shield_Bottom02,53125,I-125,0.0,97.0,5132160.0,0.028776293886800888,97
CsI_Active_Shield_Side05,53125,I-125,0.0,95.0,5132160.0,0.028183367014460968,95
CsI_Active_Shield_Bottom00,53125,I-125,0.0,95.0,5132160.0,0.028181304227944907,95
CsI_Active_Shield_Side04,53121,I-121,0.0,15.0,7632.0,0.027714957535110107,15
CsI_Active_Shield_Bottom01,54125,Xe-125,0.0,15.0,60839.99999999999,0.027714946813970846,15
CsI_Active_Shield_Bottom00,54125,Xe-125,0.0,15.0,60839.99999999999,0.02771453713256931,15
CsI_Active_Shield_Side07,53125,I-125,0.0,93.0,5132160.0,0.02758971651504124,93
W_Collimator_Aperture_Stop,73185,Ta-185,0.0,15.0,2964.0,0.027579106069241945,15
CsI_Active_Shield_Top07,55131,Cs-131,0.0,22.0,837129.6,0.026746486782696793,22
CsI_Active_Shield_Side00,54125,Xe-125,0.0,14.0,60839.99999999999,0.025868676609804686,14
CsI_Active_Shield_Side04,53122,I-122,0.0,14.0,217.79999999999998,0.025866638208940074,14
ColdPlate_60K,12027,Mg-27,0.0,14.0,567.48,0.02586581884582004,14
CsI_Active_Shield_Side01,53121,I-121,0.0,14.0,7632.0,0.02586581884582004,14
CsI_Active_Shield_Side03,55127,Cs-127,0.0,14.0,22500.0,0.02586581884582004,14
ColdPlate_50mK,29062,Cu-62,0.0,14.0,580.38,0.025865409164260025,14
CsI_Active_Shield_Side06,55127,Cs-127,0.0,14.0,22500.0,0.025864999482700008,14
CsI_Active_Shield_Bottom01,52127,Te-127,0.0,14.0,33660.0,0.025820535023797685,14
CsI_Active_Shield_Side01,53125,I-125,0.0,87.0,5132160.0,0.025802611937027806,87
CsI_Active_Shield_Top06,55131,Cs-131,0.0,21.0,837129.6,0.02553235493191227,21
CsI_Active_Shield_Bottom03,54125,Xe-125,0.0,13.0,60839.99999999999,0.024020357998630837,13
CsI_Active_Shield_Side05,53122,I-122,0.0,13.0,217.79999999999998,0.024019957609010108,13
CsI_Active_Shield_Side05,55127,Cs-127,0.0,13.0,22500.0,0.02401954792745009,13
CsI_Active_Shield_Side05,55128,Cs-128,0.0,13.0,218.4,0.024018728564330058,13
Passive_W_Outer_Liner,74177,W-177,0.0,13.0,7920.0,0.024018728564330058,13
PulseTube_ColdHead_Interface_Cu,29062,Cu-62,0.0,13.0,580.38,0.024018728564330058,13
CsI_Active_Shield_Side06,51118,Sb-118,0.0,13.0,216.0,0.024018728564330058,13
CsI_Active_Shield_Side05,53121,I-121,0.0,13.0,7632.0,0.024018318882770038,13
CsI_Active_Shield_Top04,53124,I-124,0.0,14.0,360806.4,0.023720754483508764,14
CsI_Active_Shield_Side02,53125,I-125,0.0,78.0,5132160.0,0.02314136201894633,78
CsI_Active_Shield_Top00,55131,Cs-131,0.0,19.0,837129.6,0.02309419538198286,19
CsI_Active_Shield_Side06,54133,Xe-133,0.0,14.0,452995.2,0.022274090908671697,14
CsI_Active_Shield_Side06,51115,Sb-115,0.0,12.0,1926.0,0.02225904952420752,12
CsI_Active_Shield_Side03,54125,Xe-125,0.0,12.0,60839.99999999999,0.02217408779446467,12
CsI_Active_Shield_Bottom02,54125,Xe-125,0.0,12.0,60839.99999999999,0.022173678113063137,12
CsI_Active_Shield_Bottom00,54123,Xe-123,0.0,12.0,7488.0,0.022172457645960104,12
CsI_Active_Shield_Bottom02,54123,Xe-123,0.0,12.0,7488.0,0.022171228601280055,12
CsI_Active_Shield_Side06,53121,I-121,0.0,12.0,7632.0,0.022171228601280055,12
CsI_Active_Shield_Top06,55130,Cs-130,0.0,12.0,1752.6000000000001,0.022170818919720038,12
CsI_Active_Shield_Bottom00,55128,Cs-128,0.0,12.0,218.4,0.022170818919720038,12
ADR_SaltPill_Proxy,31068,Ga-68,0.0,12.0,4062.5999999999995,0.02216999955660001,12
