VN,ZA,nuclide,old_source_activity_Bq,new_groundstate_activity_Bq,scale,action,RP_yield,nubase_half_life_s,nubase_why,nubase_line,nubase_raw_value,nubase_raw_unit
W_Side_Aperture_Sleeve_collimator_YM_panel,73177,Ta-177,0.0531279825,0.05313811870017979,1.0001907883511254,kept_rescaled,1.0,202896.0,nubase_ground,3910,56.36,h
CsI_Bottom_Quadrant_02,53124,I-124,0.0500095178,0.050009517766889236,0.9999999993379107,kept_rescaled,1.0,360806.4,nubase_ground,2352,4.1760,d
CsI_Bottom_Quadrant_03,53124,I-124,0.0500095178,0.050009517766889236,0.9999999993379107,kept_rescaled,1.0,360806.4,nubase_ground,2352,4.1760,d
CsI_Side_Segment_00,54133,Xe-133,0.0470257359,0.04701324415591329,0.9997343636660303,kept_rescaled,1.0,453375.36,nubase_ground,2668,5.2474,d
W_Side_Aperture_Sleeve_collimator_ZM_panel,73183,Ta-183,0.0467781715,0.046778171498952734,0.999999999977612,kept_rescaled,1.0,440639.99999999994,nubase_ground,4096,5.1,d
CsI_Bottom_Quadrant_02,52118,Te-118,0.0446126206,0.04461262063022556,1.0000000006775114,kept_rescaled,1.0,518400.0,nubase_ground,2161,6.00,d
CsI_Bottom_Quadrant_01,55132,Cs-132,0.0435743037,0.04357158971103056,0.9999377158384878,kept_rescaled,1.0,559872.0,nubase_ground,2640,6.480,d
CsI_Side_Segment_00,55132,Cs-132,0.0435743037,0.04357158971103056,0.9999377158384878,kept_rescaled,1.0,559872.0,nubase_ground,2640,6.480,d
CsI_Side_Segment_04_below_side_port,55132,Cs-132,0.0435743037,0.04357158971103056,0.9999377158384878,kept_rescaled,1.0,559872.0,nubase_ground,2640,6.480,d
CsI_Side_Segment_06,55132,Cs-132,0.0435743037,0.04357158971103056,0.9999377158384878,kept_rescaled,1.0,559872.0,nubase_ground,2640,6.480,d
CsI_Bottom_Quadrant_00,55131,Cs-131,0.0358847583,0.035884758277179206,0.9999999993640533,kept_rescaled,1.0,837129.6,nubase_ground,2611,9.689,d
CsI_Bottom_Quadrant_01,55131,Cs-131,0.0358847583,0.035884758277179206,0.9999999993640533,kept_rescaled,1.0,837129.6,nubase_ground,2611,9.689,d
CsI_Bottom_Quadrant_02,55131,Cs-131,0.0358847583,0.035884758277179206,0.9999999993640533,kept_rescaled,1.0,837129.6,nubase_ground,2611,9.689,d
CsI_Side_Segment_06,55131,Cs-131,0.0358847583,0.035884758277179206,0.9999999993640533,kept_rescaled,1.0,837129.6,nubase_ground,2611,9.689,d
CsI_Side_Segment_01,55131,Cs-131,0.035661508,0.03566150800755903,1.000000000211966,kept_rescaled,1.0,837129.6,nubase_ground,2611,9.689,d
Passive_W_Bottom_Plate_detector_bay,74185,W-185,0.0352517803,0.035251780253752585,0.9999999986880829,kept_rescaled,5.0,6488639.999999999,nubase_ground,4151,75.1,d
CsI_Side_Segment_02,56131,Ba-131,0.0322498006,0.032215331512775246,0.9989311844853777,kept_rescaled,1.0,995328.0,nubase_ground,2612,11.52,d
CsI_TopAnnulus_Segment_06,56131,Ba-131,0.0322498006,0.032215331512775246,0.9989311844853777,kept_rescaled,1.0,995328.0,nubase_ground,2612,11.52,d
CsI_Bottom_Quadrant_01,53126,I-126,0.030129745,0.03012974504908257,1.0000000016290405,kept_rescaled,1.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Bottom_Quadrant_02,53126,I-126,0.030129745,0.03012974504908257,1.0000000016290405,kept_rescaled,1.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Bottom_Quadrant_03,53126,I-126,0.030129745,0.03012974504908257,1.0000000016290405,kept_rescaled,1.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Side_Segment_01,53126,I-126,0.030129745,0.03012974504908257,1.0000000016290405,kept_rescaled,1.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Side_Segment_04_below_side_port,53126,I-126,0.030129745,0.03012974504908257,1.0000000016290405,kept_rescaled,1.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Side_Segment_04_side_port_band_00,53126,I-126,0.030129745,0.03012974504908257,1.0000000016290405,kept_rescaled,1.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Side_Segment_05,53126,I-126,0.030129745,0.03012974504908257,1.0000000016290405,kept_rescaled,1.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Side_Segment_07,53126,I-126,0.030129745,0.03012974504908257,1.0000000016290405,kept_rescaled,1.0,1117152.0,nubase_ground,2424,12.93,d
CsI_TopAnnulus_Segment_00,53126,I-126,0.030129745,0.03012974504908257,1.0000000016290405,kept_rescaled,1.0,1117152.0,nubase_ground,2424,12.93,d
TES_L1,73182,Ta-182,0.0284182722,0.02834491914054431,0.9974188065009916,kept_rescaled,6.0,9913536.0,nubase_ground,4069,114.74,d
CsI_Bottom_Quadrant_01,53125,I-125,0.026553956099999998,0.02655722891660732,1.0001232515635334,kept_rescaled,3.0,5131468.8,nubase_ground,2388,59.392,d
