production_tag,raw_volume,ZA,exc_keV_decimal,dat_production_count_raw,rpip_count,delta_rpip_minus_dat,status
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_below_side_port,9020,0,1,1,0,PASS
eplus,CsI_Bottom_Quadrant_00,53125,0,1,1,0,PASS
eplus,CsI_Bottom_Quadrant_00,53126,0,1,1,0,PASS
eplus,CsI_Bottom_Quadrant_01,55132,0,1,1,0,PASS
eplus,CsI_Side_Segment_03_below_side_port,55132,0,1,1,0,PASS
muminus,ColdPlate_4K,27062,0,1,1,0,PASS
muminus,ColdPlate_4K,27064,0,1,1,0,PASS
muminus,ColdPlate_4K,28063,0,2,2,0,PASS
muminus,ColdPlate_4K,28065,0,1,1,0,PASS
muminus,ColdPlate_4K,29062,0,2,2,0,PASS
muminus,ColdPlate_4K,29064,0,1,1,0,PASS
muminus,ColdPlate_60K,10023,0,1,1,0,PASS
muminus,ColdPlate_60K,10024,0,1,1,0,PASS
muminus,ColdPlate_60K,11026,0,1,1,0,PASS
muminus,ColdPlate_60K,12027,0,6,6,0,PASS
muminus,ColdPlate_CP_100mK_intercept,27062,0,1,1,0,PASS
muminus,ColdPlate_CP_100mK_intercept,29062,0,1,1,0,PASS
muminus,ColdPlate_MXC_50mK_SD_anchor,28063,0,1,1,0,PASS
muminus,ColdPlate_MXC_50mK_SD_anchor,29066,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_00,52123,0,2,2,0,PASS
muminus,CsI_Bottom_Quadrant_00,52127,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_00,53125,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_00,53126,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_00,53128,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_00,55132,0,2,2,0,PASS
muminus,CsI_Bottom_Quadrant_00,55134,0,5,5,0,PASS
muminus,CsI_Bottom_Quadrant_01,52121,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_01,52123,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_01,52127,0,2,2,0,PASS
muminus,CsI_Bottom_Quadrant_01,53126,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_01,53128,0,5,5,0,PASS
muminus,CsI_Bottom_Quadrant_01,54133,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_01,55131,0,2,2,0,PASS
muminus,CsI_Bottom_Quadrant_01,55132,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_01,55134,0,5,5,0,PASS
muminus,CsI_Bottom_Quadrant_02,51124,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_02,52127,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_02,53126,0,2,2,0,PASS
muminus,CsI_Bottom_Quadrant_02,53128,0,3,3,0,PASS
muminus,CsI_Bottom_Quadrant_02,53129,0,2,2,0,PASS
muminus,CsI_Bottom_Quadrant_02,53131,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_02,55132,0,1,1,0,PASS
muminus,CsI_Bottom_Quadrant_02,55134,0,2,2,0,PASS
muminus,CsI_Bottom_Quadrant_03,53125,0,2,2,0,PASS
muminus,CsI_Bottom_Quadrant_03,53126,0,1,1,0,PASS
