event_id,track_id,parent_id,E_keV,x_mm,y_mm,z_mm,ux,uy,uz,source_tag,creator_process
25319,2,1,511,-6.849158577,2.688318748,10000,-0.0004637356749,0.007369597446,0.9999727366,laue_bfull_diffracted,BFullLaueBraggProcess
25320,1,0,511,19.44146438,-68.446157,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25322,1,0,511,45.19625466,-57.69208255,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25323,1,0,511,68.26242766,-41.74971595,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25324,2,1,511,8.090371977,-0.7179816833,10000,-0.007170741945,0.001841302341,0.9999725947,laue_bfull_diffracted,BFullLaueBraggProcess
25326,1,0,511,63.45486009,12.99116261,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25328,1,0,511,54.78302797,46.14585162,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25329,2,1,511,-2.942453278,-1.471956008,10000,-0.004087839537,-0.006441882728,0.9999708954,laue_bfull_diffracted,BFullLaueBraggProcess
25332,2,1,511,-2.840951669,-8.841206617,10000,0.001429932029,-0.007495590262,0.9999708853,laue_bfull_diffracted,BFullLaueBraggProcess
25333,2,1,511,8.13083326,8.089198572,10000,0.003167504921,-0.006730931812,0.9999723304,laue_bfull_diffracted,BFullLaueBraggProcess
25335,1,0,511,-59.81914719,44.88973458,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25337,1,0,511,-82.19592,14.96508213,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25338,1,0,511,-81.10304968,-8.258082188,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25340,1,0,511,-52.99872454,-49.3255019,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25341,2,1,511,-1.779299831,3.446682603,10000,0.004655817707,0.005627878487,0.9999733248,laue_bfull_diffracted,BFullLaueBraggProcess
25342,1,0,511,-36.93336927,-61.02437175,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25344,1,0,511,11.68939684,-71.87740088,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25345,1,0,511,25.10692866,-71.98601476,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25348,2,1,511,5.607315834,4.434193839,10000,-0.006409420338,0.003523116256,0.9999732531,laue_bfull_diffracted,BFullLaueBraggProcess
25350,2,1,511,-5.052760654,1.596531921,10000,-0.007523169724,-2.831898649e-07,0.9999717006,laue_bfull_diffracted,BFullLaueBraggProcess
25351,2,1,511,-0.8982563382,4.403203813,10000,-0.007267861498,-0.001866216221,0.9999718473,laue_bfull_diffracted,BFullLaueBraggProcess
25352,2,1,511,0.850127571,0.9738426728,10000,-0.006226725691,-0.003422932739,0.9999747554,laue_bfull_diffracted,BFullLaueBraggProcess
25353,1,0,511,45.76039986,50.17934064,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25354,1,0,511,47.35306363,71.01268401,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25355,2,1,511,2.005406899,-6.414441572,10000,-0.002321414663,-0.00714358376,0.9999717897,laue_bfull_diffracted,BFullLaueBraggProcess
25357,1,0,511,-5.211388765,72.64954338,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
