production_tag,source_file,source_files_count,source_files,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_raw_token,exc_keV_decimal,state_id,nubase_line,production_count_raw,TT_file_s,TT_tag_sum_s,production_rate_s-1,half_life_s,half_life_authority,activity_day15_direct_Bq,state_class,source_row_count
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,CsI_TopAnnulus_Segment_02,CsI_TopAnnulus_Segment_02,54125,Xe-125,0.00,0,gs,2389,1,185.196,1473.396,0.0006787041637143035545094462046,60732,NUBASE2020_STATE,0.0006787039079712173102139547006,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,CsI_TopAnnulus_Segment_04,CsI_TopAnnulus_Segment_04,48109,Cd-109,0.00,0,gs,1934,1,185.196,1473.396,0.0006787041637143035545094462046,39856320,NUBASE2020_STATE,0.00001512616054103533876839627636,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,CsI_TopAnnulus_Segment_04,CsI_TopAnnulus_Segment_04,53124,I-124,0.00,0,gs,2352,1,184.367,1473.396,0.0006787041637143035545094462046,360806.4,NUBASE2020_STATE,0.0006224189124019870421801063666,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,CsI_TopAnnulus_Segment_05,CsI_TopAnnulus_Segment_05,53125,I-125,0.00,0,gs,2388,1,183.72,1473.396,0.0006787041637143035545094462046,5131468.8,NUBASE2020_STATE,0.0001089957958824253357549497895,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,CsI_TopAnnulus_Segment_07,CsI_TopAnnulus_Segment_07,55131,Cs-131,0.00,0,gs,2611,1,184.037,1473.396,0.0006787041637143035545094462046,837129.6,NUBASE2020_STATE,0.0004466220274868972767674135128,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,Cu_50mK_StillLike_Can_side_wall_below_side_port,Cu_50mK_StillLike_Can_side_wall_below_side_port,28063,Ni-63,0.00,0,gs,895,1,183.734,1473.396,0.0006787041637143035545094462046,3193629120,NUBASE2020_STATE,0.0000001908821938318160019438087249,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Window,26055,Fe-55,0.00,0,gs,738,1,184.046,1473.396,0.0006787041637143035545094462046,86979057.12,NUBASE2020_STATE,0.000006973575649685694137896397167,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,G10_Support_Ring_60K_Top,G10_Support_Ring_60K_Top,6011,C-11,0.00,0,gs,84,1,184.046,1473.396,0.0006787041637143035545094462046,1220.412,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,NbTi_Bundle_4K_60K,NbTi_Bundle_4K_60K,23048,V-48,0.00,0,gs,612,1,185.196,1473.396,0.0006787041637143035545094462046,1380110.4,NUBASE2020_STATE,0.000324709514514696320608987672,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep04_part01.dat.inc1.dat,NbTi_Bundle_4K_60K,NbTi_Bundle_4K_60K,41092,Nb-92,0.00,0,gs,1509,1,184.046,1473.396,0.0006787041637143035545094462046,1095048720000000,NUBASE2020_STATE,0.0000000000005567721795900592915957420816,EMITTED_CANDIDATE,1
