case,M,seed,ZA,nuclide,activity_Bq,activity_fraction,expected_draws,miss_probability_if_multinomial,dominant_incident_family,dominant_incident_family_activity_Bq,dominant_category,dominant_category_activity_Bq
M5000_seed260614,5000,260614,53120,I-120,0.014927348046,0.0001743101820448981,0.8715509102244904,0.41830229660276586,n,0.013568152830000001,CsI active shield,0.014927348046
M5000_seed260614,5000,260614,56131,Ba-131,0.014533280908,0.0001697085666507224,0.8485428332536119,0.42803820076748644,p,0.012916817761,CsI active shield,0.014533280908
M5000_seed260614,5000,260614,56129,Ba-129,0.014259528212,0.0001665118915194134,0.8325594575970672,0.4349346636861248,p,0.012222803913,CsI active shield,0.014259528212
M5000_seed260614,5000,260614,55126,Cs-126,0.0135712668900001,0.0001584749008923735,0.7923745044618675,0.45276841722895034,n,0.0101772564456667,CsI active shield,0.0135712668900001
M5000_seed260614,5000,260614,51120,Sb-120,0.012891613628,0.00015053842862271325,0.7526921431135662,0.47109658461396975,n,0.010854522265000001,CsI active shield,0.012891613628
M5000_seed260614,5000,260614,54127,Xe-127,0.0123331236280001,0.00014401680848829664,0.7200840424414832,0.4867113498309329,n,0.0065878858095001006,CsI active shield,0.0123331236280001
M5000_seed260614,5000,260614,53130,I-130,0.010870502966,0.00012693744026627784,0.6346872013313892,0.530101277360708,n,0.0074640821129999995,CsI active shield,0.010870502966
M5000_seed260614,5000,260614,51115,Sb-115,0.010179851498,0.0001188725393377492,0.594362696688746,0.5519141905513074,n,0.0061064472905,CsI active shield,0.010179851498
M5000_seed260614,5000,260614,52118,Te-118,0.008937233829999999,0.0001043621982340373,0.5218109911701865,0.5934448508403238,n,0.007260509104999999,CsI active shield,0.008937233829999999
M5000_seed260614,5000,260614,49112,In-112,0.0081440057640001,9.509948605224319e-05,0.47549743026121594,0.6215757889448251,n,0.0047492687016667005,CsI active shield,0.0081440057640001
M5000_seed260614,5000,260614,73177,Ta-177,0.008062600571999999,9.414889832606366e-05,0.4707444916303184,0.6245371324913702,muminus,0.00403682673,W/collimator,0.006721991778
M5000_seed260614,5000,260614,54121,Xe-121,0.007466220927,8.718483182426614e-05,0.4359241591213307,0.6466667678516053,p,0.004074182721,CsI active shield,0.007466220927
M5000_seed260614,5000,260614,51113,Sb-113,0.006785322040000001,7.92338140961746e-05,0.3961690704808731,0.6728929199900215,n,0.005427676342000001,CsI active shield,0.006785322040000001
M5000_seed260614,5000,260614,73176,Ta-176,0.0061088649190000005,7.133466392269994e-05,0.3566733196134997,0.7000011370285864,n,0.005427261133000001,W/collimator,0.005430457277000001
M5000_seed260614,5000,260614,52117,Te-117,0.006107537211,7.131915996161661e-05,0.35659579980808304,0.7000554030838401,n,0.004070445848,CsI active shield,0.006107537211
M5000_seed260614,5000,260614,73184,Ta-184,0.005452830288,6.367399200663174e-05,0.31836996003315876,0.7273336542503791,muminus,0.005452830288,W/collimator,0.005452830288
M5000_seed260614,5000,260614,50111,Sn-111,0.0054307753730001,6.341645153549311e-05,0.31708225767746556,0.7282708467933523,n,0.0040716172616667,CsI active shield,0.0054307753730001
M5000_seed260614,5000,260614,55124,Cs-124,0.0054285067550001,6.338996034527287e-05,0.31694980172636433,0.7283673169899083,n,0.0040708610556667,CsI active shield,0.0054285067550001
