source_name,flux_Bq
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port_13028_z009,0.0545318712
S_ColdPlate_CP_100mK_intercept_29064_z000,0.109063742
S_ColdPlate_CP_100mK_intercept_29064_z003,0.054531871
S_ColdPlate_CP_100mK_intercept_29064_z009,0.109063742
S_Passive_Cu_Liner_detector_bay_side_port_band_00_29064_z000,0.109063742
S_Passive_Cu_Liner_detector_bay_side_port_band_00_29064_z007,0.054531871
S_Passive_Cu_Liner_detector_bay_side_port_band_00_29064_z009,0.109063742
S_Plate_300K_Top_Service_Lid_12027_z000,0.0537805003
S_Plate_300K_Top_Service_Lid_12027_z003,0.0537805003
S_Plate_300K_Top_Service_Lid_12027_z005,0.0537805003
S_Plate_300K_Top_Service_Lid_12027_z008,0.0537805003
S_Plate_300K_Top_Service_Lid_12027_z009,0.0537805003
S_ColdPlate_60K_13028_z000,0.0545318712
S_ColdPlate_60K_13028_z003,0.0545318712
S_ColdPlate_60K_13028_z007,0.0545318712
S_ColdPlate_60K_13028_z009,0.0545318712
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01_13028_z000,0.109063742
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01_13028_z001,0.0545318713
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01_13028_z009,0.0545318713
S_Outer_Al_Mechanical_Shell_detector_bay_bottom_cap_12027_z000,0.107561001
S_Outer_Al_Mechanical_Shell_detector_bay_bottom_cap_12027_z006,0.0537805002
S_Outer_Al_Mechanical_Shell_detector_bay_bottom_cap_12027_z009,0.0537805002
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port_12027_z000,0.0537805002
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port_12027_z005,0.0537805002
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port_12027_z009,0.107561001
S_Plate_300K_Top_Service_Lid_11025_z000,0.0537805003
S_Plate_300K_Top_Service_Lid_11025_z001,0.0537805003
S_Plate_300K_Top_Service_Lid_11025_z007,0.0537805003
S_Plate_300K_Top_Service_Lid_11025_z009,0.0537805003
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_11025_z000,0.0537805003
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_11025_z006,0.0537805003
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_11025_z008,0.0537805003
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_11025_z009,0.0537805003
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_11024_z000,0.0537804972
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_11024_z001,0.0537804972
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_11024_z003,0.0537804972
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_11024_z009,0.0537804972
S_CsI_Bottom_Quadrant_02_55132_z000,0.0435715897
S_CsI_Bottom_Quadrant_02_55132_z002,0.0435715897
S_CsI_Bottom_Quadrant_02_55132_z005,0.0435715897
S_CsI_Bottom_Quadrant_02_55132_z009,0.0435715897
S_ColdPlate_Still_0p7K_29066_z000,0.0545318712
S_ColdPlate_Still_0p7K_29066_z003,0.0545318712
S_ColdPlate_Still_0p7K_29066_z009,0.0545318712
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00_13028_z000,0.0545318712
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00_13028_z002,0.0545318712
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00_13028_z009,0.0545318712
S_W_Side_Aperture_Sleeve_collimator_ZM_panel_74187_z000,0.0545303401
S_W_Side_Aperture_Sleeve_collimator_ZM_panel_74187_z005,0.0545303401
S_W_Side_Aperture_Sleeve_collimator_ZM_panel_74187_z009,0.0545303401
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00_12027_z000,0.0540309572
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00_12027_z004,0.0540309572
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00_12027_z009,0.0540309572
S_CsI_Bottom_Quadrant_02_55134_z000,0.00970532891
S_CsI_Bottom_Quadrant_02_55134_z001,0.0126915839
S_CsI_Bottom_Quadrant_02_55134_z002,0.0134381477
S_CsI_Bottom_Quadrant_02_55134_z003,0.0201572216
S_CsI_Bottom_Quadrant_02_55134_z004,0.0194106578
S_CsI_Bottom_Quadrant_02_55134_z005,0.0119450202
S_CsI_Bottom_Quadrant_02_55134_z006,0.0149312753
S_CsI_Bottom_Quadrant_02_55134_z007,0.0194106578
S_CsI_Bottom_Quadrant_02_55134_z008,0.00895876515
S_CsI_Bottom_Quadrant_02_55134_z009,0.00522594633
S_CsI_Bottom_Quadrant_00_55134_z000,0.00671860152
S_CsI_Bottom_Quadrant_00_55134_z001,0.0111976692
S_CsI_Bottom_Quadrant_00_55134_z002,0.0171697595
S_CsI_Bottom_Quadrant_00_55134_z003,0.0209023158
S_CsI_Bottom_Quadrant_00_55134_z004,0.0149302256
S_CsI_Bottom_Quadrant_00_55134_z005,0.0223953384
S_CsI_Bottom_Quadrant_00_55134_z006,0.0134372031
S_CsI_Bottom_Quadrant_00_55134_z007,0.0149302256
S_CsI_Bottom_Quadrant_00_55134_z008,0.00671860152
S_CsI_Bottom_Quadrant_00_55134_z009,0.0037325564
S_CsI_Bottom_Quadrant_03_55134_z000,0.00298625505
S_CsI_Bottom_Quadrant_03_55134_z001,0.0119450202
S_CsI_Bottom_Quadrant_03_55134_z002,0.00970532891
S_CsI_Bottom_Quadrant_03_55134_z003,0.0141847115
