particle,bin_id,theta_mid_deg,rows_seen,numeric_rows,rows_kept,rows_dropped,pdf_integral,raw_spectrum_path,cosima_spectrum_path
eminus,13,110.487315,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin13_theta110.49_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin13_theta110.49_pdf.dat
eminus,14,116.743684,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin14_theta116.74_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin14_theta116.74_pdf.dat
eminus,15,123.367013,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin15_theta123.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin15_theta123.37_pdf.dat
eminus,16,130.541602,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin16_theta130.54_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin16_theta130.54_pdf.dat
eminus,17,138.590378,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin17_theta138.59_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin17_theta138.59_pdf.dat
eminus,18,148.211669,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin18_theta148.21_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin18_theta148.21_pdf.dat
eminus,19,161.805128,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin19_theta161.81_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin19_theta161.81_pdf.dat
eplus,00,18.194872,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eplus_bin00_theta18.19_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eplus_bin00_theta18.19_pdf.dat
eplus,01,31.788331,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eplus_bin01_theta31.79_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eplus_bin01_theta31.79_pdf.dat
eplus,02,41.409622,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eplus_bin02_theta41.41_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eplus_bin02_theta41.41_pdf.dat
eplus,03,49.458398,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eplus_bin03_theta49.46_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eplus_bin03_theta49.46_pdf.dat
eplus,04,56.632987,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eplus_bin04_theta56.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eplus_bin04_theta56.63_pdf.dat
eplus,05,63.256316,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eplus_bin05_theta63.26_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eplus_bin05_theta63.26_pdf.dat
eplus,06,69.512685,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eplus_bin06_theta69.51_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eplus_bin06_theta69.51_pdf.dat
eplus,07,75.522488,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eplus_bin07_theta75.52_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eplus_bin07_theta75.52_pdf.dat
eplus,08,81.373073,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eplus_bin08_theta81.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eplus_bin08_theta81.37_pdf.dat
